33.941	97
80.662	94
109.236	87
129.931	89
153.797	93
179.335	95
200.535	96
220.407	96
242.194	96
261.569	98
282.683	98
301.325	97
325.617	97
350.58	97
375.185	98
396.375	97
420.121	98
443.211	97
461.807	98
480.064	96
499.492	96
519.787	95
539.512	95
558.296	95
588.604	94
615.846	95
634.424	95
657.304	94
675.757	94
695.827	94
714.572	93
735.88	92
759.289	92
785.572	92
806.72	92
830.077	91
855.427	92
874.013	92
897.124	92
925.719	92
946.387	92
969.236	93
994.713	92
1012.95	93
1031.13	93
1061.56	93
